Count of name,Column Labels,,,
Row Labels,f,m,(blank),Grand Total
Face the Nation,376,1234,,1610
Fox News Sunday,491,1521,,2012
Meet the Press,430,1374,,1804
State of the Union,338,1155,,1493
This Week,604,1479,1,2084
Grand Total,2239,6763,1,9003
